County Code,Site Num,POC,Latitude,Longitude,Datum,Date Local,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,County Name,City Name,CBSA Name
1,7,1,37.687526,-121.784217,WGS84,1/26/21,None,23,96,8.191304,27.6,7,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,1/27/21,None,23,96,4.556522,22.4,9,21,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,1/28/21,None,23,96,8.517391,23.7,7,22,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,1/29/21,None,23,96,9.665217,27.5,7,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,1/30/21,None,23,96,11.891304,22.1,23,21,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,1/31/21,None,23,96,10.491304,18.9,21,17,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/1/21,None,23,96,7.947826,17.8,0,16,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/2/21,None,23,96,4.165217,12.1,8,11,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/3/21,None,23,96,7.352174,21.5,7,20,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/4/21,None,23,96,8.691304,26.4,21,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/5/21,None,23,96,11.308696,31.9,19,29,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/6/21,None,23,96,12.1,26.1,20,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/7/21,None,23,96,14.313043,25.8,22,24,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/8/21,None,23,96,18.004348,26.8,8,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/9/21,None,23,96,11.23913,20.0,0,19,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/10/21,None,23,96,9.873913,20.8,7,19,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/11/21,None,23,96,10.973913,19.7,6,18,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/12/21,None,23,96,2.169565,6.4,6,6,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/13/21,None,23,96,1.286957,2.7,21,2,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/14/21,None,23,96,5.808696,17.3,6,16,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/15/21,None,23,96,0.734783,2.2,0,2,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/16/21,None,23,96,7.669565,23.8,6,22,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/17/21,None,23,96,9.465217,19.5,6,18,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/18/21,None,23,96,14.656522,29.6,7,27,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/19/21,None,23,96,7.504348,18.1,6,17,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/20/21,None,23,96,4.530435,21.4,23,20,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/21/21,None,23,96,9.873913,18.2,6,17,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/22/21,None,23,96,10.126087,28.3,21,26,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/23/21,None,18,75,15.894444,26.5,22,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/24/21,None,23,96,7.895652,31.5,6,29,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/25/21,None,23,96,5.93913,26.8,22,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/26/21,None,23,96,11.578261,26.7,7,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/27/21,None,23,96,7.017391,19.3,6,18,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,2/28/21,None,23,96,9.530435,28.2,22,26,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/1/21,None,19,79,13.910526,32.7,20,30,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/2/21,None,23,96,18.7,33.6,19,31,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/3/21,None,23,96,14.504348,28.0,5,26,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/4/21,None,23,96,10.721739,24.3,22,23,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/5/21,None,23,96,9.5,25.4,6,24,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/6/21,None,23,96,2.104348,5.6,7,5,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/7/21,None,23,96,4.83913,16.6,6,15,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/8/21,None,23,96,2.426087,19.1,23,18,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/9/21,None,23,96,9.143478,30.9,6,28,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/10/21,None,23,96,3.578261,15.5,6,14,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/11/21,None,23,96,3.373913,9.0,23,8,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/12/21,None,23,96,10.9,22.9,4,21,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/13/21,None,23,96,3.178261,19.1,1,18,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/14/21,None,23,96,0.413043,1.1,7,1,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/15/21,None,20,83,6.66,27.1,21,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
